"","Equity.return","Real.GDP.growth","Output.gap","CPI.inflation","PCE.core.inflation.YoY","Modified.Taylor.rule.outcome","Short.term..3.month..interest.rate","Long.term..10.year..interest.rate","Unemployment","NAIRU"
"Equity.return",1,0.249786395696962,-0.0128437617877959,-0.064812688825699,0.0318408026965787,0.00889849795491025,0.0890199220968216,0.0907748345511085,0.0903059607660802,0.12031957767246
"Real.GDP.growth",0.249786395696962,1,0.400154547183473,0.0933682921623698,0.0763249469936367,0.350573337280859,0.2532499522312,0.278142857985373,-0.180363617076031,0.124597531570884
"Output.gap",-0.0128437617877959,0.400154547183473,1,0.276226589667841,0.0790266564269954,0.810447355150865,0.542307069341359,0.29159613337434,-0.898088324208344,-0.257450127654817
"CPI.inflation",-0.064812688825699,0.0933682921623698,0.276226589667841,1,0.690670449353408,0.61691119476651,0.627230222613275,0.6012873554717,-0.201448388088443,0.384345688410642
"PCE.core.inflation.YoY",0.0318408026965787,0.0763249469936367,0.0790266564269954,0.690670449353408,1,0.648026296400356,0.741396897242863,0.807288205990589,0.0142682169920714,0.627481926456237
"Modified.Taylor.rule.outcome",0.00889849795491025,0.350573337280859,0.810447355150865,0.61691119476651,0.648026296400356,1,0.850008012101576,0.697183988275118,-0.677761410085272,0.172045543524736
"Short.term..3.month..interest.rate",0.0890199220968216,0.2532499522312,0.542307069341359,0.627230222613275,0.741396897242863,0.850008012101576,1,0.912211285642161,-0.371671860458588,0.520513183249073
"Long.term..10.year..interest.rate",0.0907748345511085,0.278142857985373,0.29159613337434,0.6012873554717,0.807288205990589,0.697183988275118,0.912211285642161,1,-0.113325851726542,0.672764886968475
"Unemployment",0.0903059607660802,-0.180363617076031,-0.898088324208344,-0.201448388088443,0.0142682169920714,-0.677761410085272,-0.371671860458588,-0.113325851726542,1,0.529232275233038
"NAIRU",0.12031957767246,0.124597531570884,-0.257450127654817,0.384345688410642,0.627481926456237,0.172045543524736,0.520513183249073,0.672764886968475,0.529232275233038,1
